symbol,security_name,listing_exchange,etf,financial_status,zip,sector,fullTimeEmployees,city,state,country,industry,twoHundredDayAverage,trailingAnnualDividendYield,averageDailyVolume10Day,regularMarketPreviousClose,open,averageVolume10days,dividendRate,regularMarketVolume,marketCap,averageVolume,dayLow,ask,fiftyTwoWeekHigh,forwardPE,fiveYearAvgDividendYield,dividendYield,bidSize,dayHigh,enterpriseToRevenue,forwardEps,revenueQuarterlyGrowth,bookValue,sharesShort,shortRatio,floatShares,enterpriseValue,regularMarketPrice,latest_dividend
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,N,,10167,Real Estate,,New York,NY,United States,REIT—Mortgage,12.491765,0.17322835,440614,7.62,7.75,440614,1.32,585657,268204048.0,841888,7.7,7.99,17.72,7.7115393,8.56,0.1732,1000.0,8.15,31.943,1.04,,14.044,838865.0,0.87,31690782.0,1781596928.0,7.75,0.33
ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,P,Y,,,,,,,,,25.510477,,457,24.1632,24.375,457,,252,,1648,24.375,0.0,28.55,,,,800.0,24.375,,,,,,,,,24.375,0.475
ACSI,American Customer Satisfaction ETF,Z,Y,,,,,,,,,33.079178,,728,32.1234,32.59,728,,401,,3330,32.59,35.69,37.842,,,,1000.0,32.873,,,,,,,,,32.59,0.583
ACT,AdvisorShares Vice ETF,Q,Y,N,,,,,,,,22.986176,,3528,22.4029,22.46,3528,,2369,,4356,22.3775,24.95,25.85,,,,800.0,23.0243,,,,,,,,,22.46,0.62
ACTG,Acacia Research Corporation - Common Stock,Q,N,N,92614,Industrials,17.0,Irvine,CA,United States,Specialty Business Services,2.5527942,0.048169557,178842,2.595,2.63,178842,,163082,125173904.0,231556,2.53,0.0,3.5,-257.0,,,800.0,2.675,-0.441,-0.01,,3.211,725708.0,3.57,42524063.0,-5151780.0,2.63,0.125
ACU,Acme United Corporation. Common Stock,A,N,,06824,Consumer Defensive,441.0,Fairfield,CT,United States,Household & Personal Products,22.223602,0.023088021,18957,20.79,21.0,18957,0.48,8413,71593880.0,15479,20.89,23.75,24.91,13.000001,2.06,0.0231,1000.0,21.45,0.734,1.65,,16.713,1103.0,0.07,2723705.0,107854912.0,21.0,0.12
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,N,,10019,Financial Services,,New York,NY,United States,Asset Management,22.558786,,32042,22.28,22.31,32042,2.0,31647,231291216.0,77027,21.79,25.03,26.661,,,0.089899994,1100.0,22.425,,,,,17966.0,0.31,,,22.31,0.167
ACWF,iShares Edge MSCI Multifactor Global ETF,P,Y,,,,,,,,,28.464611,,11471,27.1,27.41,11471,,29202,,22779,27.17,0.0,31.93,,,,1000.0,27.51,,,,,,,,,27.41,0.425
ACWI,iShares MSCI ACWI Index Fund,Q,Y,N,,,,,,,,73.06426,,4973500,71.1,71.73,4973500,,6271735,,6264969,70.67,71.84,81.75,,,,2900.0,71.99,,,,,,,,,71.73,0.943
ACWV,iShares Edge MSCI Min Vol Global ETF,Z,Y,,,,,,,,,91.03941,,290928,86.94,87.48,290928,,208072,,671837,86.72,0.0,99.7,,,,1000.0,87.58,,,,,,,,,87.48,1.413
ACWX,iShares MSCI ACWI ex US Index Fund,Q,Y,N,,,,,,,,44.18765,,2127171,41.22,41.63,2127171,,1195838,,3014827,41.14,0.0,50.03,,,,1400.0,41.65,,,,,,,,,41.63,0.794
ADBE,Adobe Inc. - Common Stock,Q,N,N,95110,Technology,22634.0,San Jose,CA,United States,Software—Infrastructure,335.2031,,2708200,376.63,373.24,2708200,,3553278,180757282816.0,4077496,361.44,374.28,391.27,33.587288,,,800.0,375.7,15.23,11.17,,21.667,5171114.0,1.42,479955553.0,177606623232.0,373.24,0.0065
ADC,Agree Realty Corporation Common Stock,N,N,,48304,Real Estate,41.0,Bloomfield Hills,MI,United States,REIT—Retail,68.79985,0.035708763,503928,64.69,66.35,503928,2.4,692067,3513960448.0,790827,62.88,73.08,80.51,37.073864,4.1,0.037100002,800.0,66.99,21.052,1.76,,37.483,7650448.0,8.52,45892725.0,4230171392.0,66.35,0.585
ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,02062,Technology,16400.0,Norwood,MA,United States,Semiconductors,109.19022,0.019875778,2800685,112.7,113.82,2800685,2.48,1781436,42250977280.0,3285454,111.625,116.13,127.3,22.311285,2.23,0.0216,900.0,115.28,7.949,5.14,,31.746,5982760.0,2.16,366761939.0,45737594880.0,113.82,0.62
ADM,Archer-Daniels-Midland Company Common Stock,N,N,,60601,Consumer Defensive,38000.0,Chicago,IL,United States,Farm Products,40.250587,0.03797468,2429542,37.13,37.72,2429542,1.44,3961993,21664344064.0,3681069,37.72,39.1,47.2,11.403508,2.96,0.0369,1300.0,39.0,0.452,3.42,,34.148,8021373.0,2.5,553540863.0,29065506816.0,37.72,0.36
ADNT,Adient plc Ordinary Shares ,N,N,,1,Consumer Cyclical,83000.0,Dublin,,Ireland,Auto Parts,18.69272,0.015687393,1233400,17.53,18.47,1233400,,1201584,1706720256.0,1841443,17.32,19.48,29.275,10.448276,,,900.0,18.79,0.34,1.74,,16.415,4084462.0,2.57,93510015.0,5300351488.0,18.47,0.275
ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,07068,Industrials,58000.0,Roseland,NJ,United States,Staffing & Employment Services,156.92603,0.024474518,3331428,138.92,141.3,3331428,3.64,3117889,62175408128.0,3089161,139.535,146.34,182.32,25.16,2.1,0.0252,900.0,145.125,4.303,5.75,,12.775,4323940.0,1.73,428953507.0,63502860288.0,141.3,0.91
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Q,Y,N,,,,,,,,39.548016,0.019339688,6300,36.195,36.515,6300,,5644,,9811,36.13,0.0,46.11,,,,900.0,36.5315,,,,,,,,,36.515,0.016
ADS,Alliance Data Systems Corporation Common Stock,N,N,,43219,Financial Services,8500.0,Columbus,OH,United States,Credit Services,78.10824,0.0509915,1699100,49.42,52.96,1699100,0.84,2052906,2476179712.0,1968882,50.16,59.99,159.41,3.9060857,,0.017,800.0,54.4,3.361,13.31,,22.837,3117535.0,1.55,46222937.0,18917687296.0,52.96,0.21
ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,94903,Technology,10100.0,San Rafael,CA,United States,Software—Application,179.0789,,1518328,199.53,198.65,1518328,,2192991,43795152896.0,2366579,192.51,195.0,211.58,34.5095,,,900.0,199.81,12.57,5.79,,-0.634,3676748.0,1.65,219106530.0,41156501504.0,198.65,0.015
ADT,ADT Inc. Common Stock,N,N,,33431,Industrials,17500.0,Boca Raton,FL,United States,Security & Protection Services,6.520956,0.020231213,1862557,6.92,7.1,1862557,0.14,1995297,5283215360.0,2313351,6.725,7.21,9.705,6.411215,,0.0215,4000.0,7.21,2.785,1.07,,3.759,22468127.0,9.56,108221174.0,14628448256.0,7.1,0.035
ADTN,"ADTRAN, Inc. - Common Stock",Q,N,N,35806,Technology,1790.0,Huntsville,AL,United States,Communication Equipment,9.115,0.032315977,297814,11.14,11.35,297814,0.36,327574,545756352.0,421287,10.96,13.89,16.99,71.125,2.38,0.0321,900.0,11.39,0.951,0.16,,7.584,757874.0,1.91,47471721.0,476245504.0,11.35,0.09
ADX,Adams Diversified Equity Fund Inc.,N,N,,21202,Financial Services,,Baltimore,MD,United States,Asset Management,14.807353,0.097796135,209214,14.52,14.61,209214,0.21,172614,1595257216.0,484091,14.4,15.15,16.76,,3.55,0.0145000005,1400.0,14.68,46.195,,,17.935,691210.0,1.67,107176603.0,1549222528.0,14.61,0.05
AEE,Ameren Corporation Common Stock,N,N,,63103,Utilities,9323.0,St. Louis,MO,United States,Utilities—Regulated Electric,76.28088,0.02741662,1793714,70.76,71.93,1793714,1.98,2565489,17408284672.0,2235633,69.3,78.0,87.66,18.702919,3.08,0.028099999,800.0,71.93,5.084,3.77,,32.746,12690399.0,7.3,245486221.0,28139698176.0,71.93,0.495
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock",A,N,,EC4M 9HH,Financial Services,,London,,United Kingdom,Asset Management,6.5958824,0.03063063,70628,5.55,5.59,70628,0.22,57395,284210080.0,99209,5.53,10.93,8.01,,,0.038900003,1100.0,5.63,16.363,,,8.656,8027.0,0.04,,322278880.0,5.59,0.054
AEG,AEGON N.V. Common Stock,N,N,,2591 TV,Financial Services,23757.0,The Hague,,Netherlands,Insurance—Diversified,3.5154412,0.12255639,3503585,2.66,2.84,3503585,,3829923,5690075648.0,4043312,2.74,2.82,5.18,2.074074,6.01,,45100.0,2.86,,1.35,,13.538,5712019.0,1.91,1749181423.0,4864538624.0,2.84,0.173488
AEL,American Equity Investment Life Holding Company Common Stock,N,N,,50266,Financial Services,608.0,West Des Moines,IA,United States,Insurance—Life,24.77103,0.013711153,711328,21.88,23.0,711328,0.3,751206,2101436928.0,868111,22.52,22.94,34.16,4.793319,1.01,0.0137,800.0,23.74,0.423,4.79,,38.501,2809327.0,3.76,89870248.0,907702848.0,23.0,0.3
AEM,Agnico Eagle Mines Limited Common Stock,N,N,,M5C 2Y7,Basic Materials,6193.0,Toronto,ON,Canada,Gold,56.164852,0.0098611545,1520185,63.38,60.95,1520185,0.8,2032470,15155935232.0,2392174,60.13,64.29,69.66,27.447826,0.97,0.0127,800.0,63.32,6.573,2.3,,20.973,2624220.0,1.28,239585052.0,17316395008.0,60.95,0.2
AEP,"American Electric Power Company, Inc. Common Stock",N,N,,43215-2373,Utilities,17408.0,Columbus,OH,United States,Utilities—Regulated Electric,89.95221,0.034284286,2743757,79.92,81.04,2743757,2.8,3484125,40360280064.0,3997861,80.272,82.19,104.97,17.551725,3.36,0.0344,900.0,81.49,4.692,4.64,,39.839,6865440.0,2.15,495042947.0,71569965056.0,81.04,0.7
AES,The AES Corporation Common Stock,N,N,,22203,Utilities,8000.0,Arlington,VA,United States,Utilities—Diversified,16.757353,0.04293478,6198757,12.88,13.15,6198757,0.57,6602079,8490862592.0,6909053,12.57,0.0,21.23,8.23871,3.65,0.044899996,3200.0,13.23,3.039,1.55,,3.819,5760777.0,0.96,662148109.0,30013360128.0,13.15,0.143
AESR,Anfield U.S. Equity Sector Rotation ETF,Z,Y,,,,,,,,,9.447234,,15957,9.519,9.45,15957,,16557,,97854,9.45,199999.98,10.96,,,,1000.0,9.54,,,,,,,,,9.45,0.033
AFB,AllianceBernstein National Municipal Income Fund Inc,N,N,,10105,Financial Services,,New York,NY,United States,Asset Management,13.438677,0.04263566,48971,12.9,12.94,48971,0.64,37924,376845632.0,79937,12.94,13.11,14.51,,4.87,0.0495,800.0,13.11,23.911,,,15.232,24900.0,0.32,,626067328.0,12.94,0.046
AFG,"American Financial Group, Inc. Common Stock",N,N,,45202,Financial Services,7700.0,Cincinnati,OH,United States,Insurance—Property & Casualty,90.73147,0.026504522,811542,64.14,65.63,811542,1.8,1166076,6020292096.0,765208,65.12,67.28,115.03,7.7647743,1.45,0.028099999,1800.0,67.79,0.957,8.63,,56.186,886198.0,1.44,70465505.0,6963190272.0,65.63,0.45
AFIF,Anfield Universal Fixed Income ETF,Z,Y,,,,,,,,,9.772867,,52600,9.81,9.82,52600,,107713,,304980,9.82,0.0,10.49,,,,800.0,9.86,,,,,,,,,9.82,0.005
AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,N,N,10019,Real Estate,,New York,NY,United States,REIT—Diversified,10.686397,0.13704632,403014,7.99,8.24,403014,0.85,664448,881247360.0,704769,7.961,0.0,15.18,7.6603775,,0.1161,900.0,8.31,8.148,1.06,,15.356,3152076.0,4.56,108001573.0,2466892288.0,8.24,0.071
AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,N,N,10019,Real Estate,,New York,NY,United States,REIT—Diversified,22.293486,0.055867348,42500,19.6,19.86,42500,1.88,53585,893180032.0,64151,19.61,21.99,26.15,,,0.097600006,800.0,20.34,12.368,,,15.356,,,108001573.0,3744584448.0,19.86,0.469
AFK,VanEck Vectors-Africa Index ETF,P,Y,,,,,,,,,17.471544,,7828,15.23,15.34,7828,,4466,,21791,15.22,27.72,22.4,,,,800.0,15.4,,,,,,,,,15.34,1.286
AFL,AFLAC Incorporated Common Stock,N,N,,31999,Financial Services,11729.0,Columbus,GA,United States,Insurance—Life,44.74647,0.030085566,3914157,36.23,37.97,3914157,1.12,4106481,26669770752.0,5205833,36.66,37.8,57.18,8.315436,2.27,0.0301,1200.0,37.97,1.407,4.47,,36.752,9998779.0,2.43,664828488.0,30682836992.0,37.97,0.28
AFLG,First Trust Active Factor Large Cap ETF,P,Y,,,,,,,,,18.70205,,242,18.2703,18.27,242,,1,,3382,18.5337,0.0,21.227,,,,800.0,18.5337,,,,,,,,,18.27,0.057
AFMC,First Trust Active Factor Mid Cap ETF,P,Y,,,,,,,,,17.737358,,214,16.7973,16.26,214,,7,,1029,17.2317,0.0,20.903,,,,1400.0,17.2317,,,,,,,,,16.26,0.023
AFSM,First Trust Active Factor Small Cap ETF,P,Y,,,,,,,,,17.466183,,142,15.8992,15.95,142,,500,,822,15.95,19.13,20.907,,,,900.0,15.95,,,,,,,,,15.95,0.065
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,N,N,,10019,Financial Services,,New York,NY,United States,Asset Management,13.717941,0.1,57442,12.0,12.08,57442,1.15,36243,188745968.0,101193,12.04,15.88,15.63,,7.21,0.0955,3000.0,12.14,10.696,,,16.94,12896.0,0.12,,314592864.0,12.08,0.077
AFTY,Pacer CSOP FTSE China A50 ETF,P,Y,,,,,,,,,16.328176,,8871,15.5885,15.56,8871,,5181,,6769,15.46,0.0,18.26,,,,1000.0,15.56,,,,,,,,,15.56,0.752
AGCO,AGCO Corporation Common Stock,N,N,,30096,Industrials,20961.0,Duluth,GA,United States,Farm & Heavy Construction Machinery,63.25941,0.011220196,586671,57.04,58.54,586671,0.64,609717,4352065536.0,689004,56.71,60.13,81.39,14.007229,0.92,0.0112,1100.0,59.96,0.616,4.15,,35.293,1469341.0,2.37,61423763.0,5526189056.0,58.54,0.16
AGD,Aberdeen Global Dynamic Dividend Fund,N,N,,AB10 1YG,Financial Services,,Aberdeen,,United Kingdom,Asset Management,9.203529,0.09296781,41500,8.39,8.4,41500,0.78,45107,106546104.0,88109,8.3908,10.65,10.78,,8.23,0.093,800.0,8.52,9.259,,,11.138,20838.0,0.23,,103310184.0,8.4,0.065
AGG,iShares Core U.S. Aggregate Bond ETF,P,Y,,,,,,,,,114.40662,,4774442,117.25,117.5,4774442,,4720500,,8839470,117.3,118.27,119.27,,,,800.0,117.54,,,,,,,,,117.5,0.236
AGGP,IQ Enhanced Core Plus Bond U.S. ETF,P,Y,,,,,,,,,19.834736,,3271,19.9415,19.9624,3271,,3432,,15795,19.95,0.0,21.4,,,,1800.0,19.9651,,,,,,,,,19.9624,0.029
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund,P,Y,,,,,,,,,52.481133,,208142,53.19,53.22,208142,,123134,,409617,53.22,54.0,54.68,,,,800.0,53.35,,,,,,,,,53.22,0.11
AGI,Alamos Gold Inc. Class A Common Shares,N,N,,M5J 2T3,Basic Materials,1700.0,Toronto,ON,Canada,Gold,6.235147,0.005776637,3224285,7.79,7.56,3224285,0.06,2597738,3130639872.0,4225772,7.47,8.44,8.77,25.903225,0.69,0.0075,2200.0,8.05,4.406,0.31,,6.793,2334926.0,0.76,389018358.0,3101700096.0,7.56,0.015
AGM,Federal Agricultural Mortgage Corporation Common Stock,N,N,,20006,Financial Services,103.0,Washington,DC,United States,Credit Services,70.726326,0.045073055,56128,64.34,66.39,56128,3.2,50818,723527296.0,68687,64.62,68.5,88.46,6.8681545,2.49,0.0497,3100.0,68.44,123.835,9.86,,43.387,117036.0,1.4,8901006.0,21924134912.0,66.39,0.8
AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,15.57125,0.14456037,9761657,13.42,13.61,9761657,1.44,10206708,7545725440.0,14254893,13.125,13.5,19.65,7.062827,12.33,0.1073,4000.0,13.62,-35.896,1.91,,14.636,13832623.0,1.0,555558553.0,68596625408.0,13.61,0.12
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,23.716162,0.08587871,27100,22.59,22.72,27100,1.72,35669,8091066368.0,93845,22.64,28.39,26.271,,,0.0762,1000.0,22.99,-38.842,,,14.636,,,555558553.0,74226548736.0,22.72,0.43
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,20814,Real Estate,51.0,Bethesda,MD,United States,REIT—Mortgage,24.239471,0.084091894,40842,23.07,23.44,40842,1.75,39579,7961194496.0,128841,23.06,0.0,26.59,,,0.0759,1000.0,23.44,-39.003,,,14.636,,,555558553.0,74534199296.0,23.44,0.438
